id,lat,long
BA27,-35.18530598,149.076778
BA27,-35.18750003,149.078667
BA27,-35.18963903,149.080778
BA27,-35.19166701,149.083083
BA27,-35.19347201,149.085361
BA27,-35.19533303,149.08775
BA27,-35.19722202,149.090056
BA27,-35.19886103,149.092056
BA27,-35.20047204,149.094
BA27,-35.20216703,149.096028
BA27,-35.203778,149.098111
BA27,-35.20552796,149.1008891
BA27,-35.20722196,149.104139
BA27,-35.20888897,149.1074999
BA27,-35.21083303,149.110528
BA27,-35.21347201,149.1128891
BA27,-35.21599996,149.115333
BA27,-35.21836104,149.117944
BA27,-35.22099996,149.120083
BA27,-35.22433301,149.135222
BA27,-35.22505599,149.1348609
BA27,-35.22433301,149.135222
BA27,-35.22505599,149.1348609
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22505599,149.1348609
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22508303,149.134861
BA27,-35.22508298,149.134833
BA27,-35.22511096,149.134806
BA27,-35.22502804,149.134861
BA27,-35.22505599,149.1348609
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22505599,149.1348609
BA27,-35.22502804,149.134861
BA27,-35.22502804,149.134861
BA27,-35.22505603,149.134833
BA27,-35.22505603,149.134833
BA27,-35.22505603,149.134833
BA27,-35.22508298,149.134833
BA27,-35.22508298,149.134833
BA27,-35.22508298,149.134833
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.22508301,149.134806
BA27,-35.225111,149.134778
BA27,-35.22508301,149.134806
BA27,-35.225111,149.134778
BA27,-35.225111,149.134778
BA27,-35.225111,149.134778
BA27,-35.225111,149.134778
BA27,-35.225083,149.13475
BA27,-35.23533297,149.14475
BA27,-35.23688897,149.1425
BA27,-35.23852796,149.140194
BA27,-35.24002799,149.138
BA27,-35.24044403,149.137
BA27,-35.238944,149.139139
BA27,-35.23744402,149.141278
BA27,-35.23597202,149.143444
BA27,-35.23447199,149.145556
BA27,-35.18258303,149.132167
BA27,-35.18258303,149.132167
BA27,-35.18263901,149.132111
BA27,-35.23438898,149.146028
BA27,-35.23588901,149.143972
BA27,-35.23738903,149.141833
BA27,-35.238889,149.139639
BA27,-35.24038904,149.137444
BA27,-35.24947201,149.139278
BA27,-35.24947201,149.139278
BA27,-35.24947196,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.24949996,149.139278
BA27,-35.24949996,149.139278
BA27,-35.24958298,149.139222
BA27,-35.24958298,149.139222
BA27,-35.24958298,149.139222
BA27,-35.24952799,149.1392779
BA27,-35.24952799,149.1392779
BA27,-35.24955603,149.139278
BA27,-35.24955603,149.139222
BA27,-35.24952804,149.13925
BA27,-35.24952804,149.13925
BA27,-35.24955603,149.139222
BA27,-35.32119397,149.167667
BA27,-35.319111,149.168944
BA27,-35.31652798,149.169361
BA27,-35.31377805,149.169083
BA27,-35.31083297,149.16925
BA27,-35.30822196,149.170167
BA27,-35.30552803,149.171333
BA27,-35.30308302,149.172528
BA27,-35.30086097,149.174528
BA27,-35.30086097,149.174528
BA27,-35.29919399,149.177
BA27,-35.297222,149.178556
BA27,-35.297222,149.178556
BA27,-35.29683301,149.175833
BA27,-35.23280603,149.1252779
BA27,-35.23280603,149.1252779
BA27,-35.32069403,149.168083
BA27,-35.31833298,149.169167
BA27,-35.31522196,149.169278
BA27,-35.312139,149.169056
BA27,-35.30911104,149.169778
BA27,-35.30625001,149.171028
BA27,-35.30324999,149.172417
BA27,-35.30072204,149.174694
BA27,-35.30072204,149.174694
BA27,-35.29677797,149.1786939
BA27,-35.296806,149.1758609
BA27,-35.28411098,149.161833
BA27,-35.28411098,149.161833
BA27,-35.284167,149.161917
BA27,-35.28413896,149.161917
BA27,-35.28411098,149.161944
BA27,-35.28411102,149.161861
BA27,-35.28411102,149.161861
BA27,-35.28411102,149.161861
BA27,-35.28199996,149.163139
BA27,-35.27983298,149.163889
BA27,-35.27761102,149.163167
BA27,-35.27541703,149.162333
BA27,-35.27352799,149.163944
BA27,-35.27127802,149.1646111
BA27,-35.26894403,149.164361
BA27,-35.26697196,149.162944
BA27,-35.26636098,149.160278
BA27,-35.26861101,149.160056
BA27,-35.270139,149.158528
BA27,-35.268333,149.160222
BA27,-35.26613898,149.160917
BA27,-35.26736102,149.163278
BA27,-35.26936097,149.164583
BA27,-35.27163903,149.164583
BA27,-35.27386104,149.16375
BA27,-35.27577802,149.16225
BA27,-35.27791699,149.163333
BA27,-35.28013904,149.1638889
BA27,-35.28230597,149.163056
BA27,-35.28438899,149.161889
BA27,-35.23872197,149.135194
BA27,-35.23688896,149.132556
BA27,-35.23499998,149.129556
BA27,-35.23438902,149.128583
BA27,-35.23499998,149.129556
BA27,-35.24936096,149.139333
BA27,-35.24947201,149.139278
BA27,-35.24936096,149.139333
BA27,-35.24947201,149.139278
BA27,-35.24949996,149.139278
BA27,-35.24949996,149.139278
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.2495,149.139306
BA27,-35.27722196,149.133528
BA27,-35.27722196,149.133528
BA27,-35.27691703,149.13375
BA27,-35.27713898,149.133556
BA27,-35.249639,149.138639
BA27,-35.249639,149.138639
BA27,-35.24958297,149.138611
BA27,-35.24966699,149.138611
BA27,-35.24966699,149.138611
BA27,-35.24966703,149.138583
BA27,-35.24966703,149.138583
BA27,-35.24963904,149.138611
BA27,-35.24963904,149.138611
BA27,-35.24950001,149.138194
BA27,-35.33255602,149.161861
BA27,-35.33505603,149.162167
BA27,-35.33780602,149.162639
BA27,-35.34355603,149.1633331
BA27,-35.34669396,149.163556
BA27,-35.34977799,149.164
BA27,-35.35283296,149.1648329
BA27,-35.35588897,149.165778
BA27,-35.35891698,149.166389
BA27,-35.36197196,149.166944
BA27,-35.36494397,149.1675
BA27,-35.36799997,149.168083
BA27,-35.37105599,149.168639
BA27,-35.37394403,149.169167
BA27,-35.37680602,149.169694
BA27,-35.37958304,149.170194
BA27,-35.38216701,149.171333
BA27,-35.38438897,149.171944
BA27,-35.38622203,149.170083
BA27,-35.38794398,149.167556
BA27,-35.38955599,149.165194
BA27,-35.39130596,149.162667
BA27,-35.39311098,149.160083
BA27,-35.39497202,149.157444
BA27,-35.39688902,149.154833
BA27,-35.39874999,149.152333
BA27,-35.40075003,149.149639
BA27,-35.40294404,149.147278
BA27,-35.40486099,149.1455
BA27,-35.40522197,149.142722
BA27,-35.27725001,149.133389
BA27,-35.27713901,149.133917
BA27,-35.27719398,149.134
BA27,-35.27719398,149.134
BA27,-35.24961102,149.139222
BA27,-35.24961102,149.139222
BA27,-35.249667,149.139222
BA27,-35.24966696,149.139194
BA27,-35.24966696,149.139194
BA27,-35.24966696,149.139194
BA27,-35.24966696,149.139194
BA27,-35.24919399,149.138972
BA27,-35.24958298,149.139222
BA27,-35.24919399,149.138972
BA27,-35.24958298,149.139222
BA27,-35.24958303,149.139194
BA27,-35.24955598,149.139194
BA27,-35.24958303,149.139194
BA27,-35.24955598,149.139194
BA27,-35.24958303,149.139194
BA27,-35.24955598,149.139194
BA27,-35.29625001,149.174611
BA27,-35.30224996,149.173556
BA27,-35.30224996,149.173556
BA27,-35.30480599,149.172028
BA27,-35.30763903,149.1708061
BA27,-35.31044404,149.169694
BA27,-35.3135,149.1693611
BA27,-35.31663896,149.169722
BA27,-35.31975002,149.1692221
BA27,-35.32213897,149.168417
BA27,-35.32133299,149.1676111
BA27,-35.31925,149.168889
BA27,-35.316444,149.169389
BA27,-35.31341703,149.1690561
BA27,-35.31044403,149.169333
BA27,-35.30761101,149.170444
BA27,-35.30436096,149.171861
BA27,-35.299139,149.177
BA27,-35.29669402,149.17875
BA27,-35.29669402,149.17875
BA27,-35.29666703,149.175944
BA27,-35.23919401,149.138806
BA27,-35.23755601,149.141139
BA27,-35.23594398,149.143444
BA27,-35.23444402,149.145583
BA27,-35.18257163,149.132246
BA27,-35.18257163,149.132246
BA27,-35.18257163,149.132246
BA27,-35.18257163,149.132246
BA27,-35.24952799,149.1392779
BA27,-35.18257163,149.132246
BA27,-35.24952799,149.1392779
BA27,-35.24952799,149.1392779
BA27,-35.24952799,149.1392779
BA27,-35.24952799,149.1392779
BA27,-35.24952799,149.1392779
BA27,-35.24958297,149.138611
BA27,-35.24969398,149.139139
BA27,-35.24969398,149.139139
BA27,-35.24958297,149.138611
BA27,-35.24969403,149.139167
BA27,-35.24969398,149.139139
BA27,-35.24969398,149.139139
BA27,-35.24969398,149.139139
BA27,-35.27763901,149.133583
BA27,-35.27763901,149.133583
BA27,-35.27763899,149.133528
BA27,-35.27766701,149.133667
BA27,-35.27766701,149.133667
BA27,-35.277417,149.13375
BA27,-35.27761102,149.1336669
BA27,-35.27747199,149.13375
BA27,-35.27747199,149.13375
BA27,-35.27761102,149.1336669
BA27,-35.28838896,149.167861
BA27,-35.29038902,149.169694
BA27,-35.29680604,149.1752781
BA27,-35.300444,149.175667
BA27,-35.300444,149.175667
BA27,-35.302306,149.1735279
BA27,-35.302306,149.1735279
BA27,-35.30499997,149.171944
BA27,-35.30802801,149.170611
BA27,-35.31133301,149.169472
BA27,-35.31480604,149.169528
BA27,-35.31805601,149.169611
BA27,-35.32102804,149.168861
BA27,-35.24969397,149.14075
BA27,-35.24963899,149.138583
BA27,-35.24969397,149.14075
BA27,-35.24963899,149.138583
BA27,-35.24961096,149.1385829
BA27,-35.24966697,149.138556
BA27,-35.24961096,149.1385829
BA27,-35.24966699,149.138611
BA27,-35.24966699,149.138611
BA27,-35.24961096,149.1385829
BA27,-35.31230597,149.081861
BA27,-35.31216697,149.0816669
BA27,-35.31216697,149.0816669
BA27,-35.31216697,149.0816669
BA27,-35.31216697,149.0816669
BA27,-35.31300001,149.080611
BA27,-35.31300001,149.080611
BA27,-35.31302798,149.0806671
BA27,-35.31299998,149.0806389
BA27,-35.31299998,149.0806389
BA27,-35.31302802,149.080639
BA27,-35.31302802,149.080639
BA27,-35.31299998,149.0806389
BA27,-35.31299998,149.0806389
BA27,-35.312972,149.080667
BA27,-35.31302796,149.080611
