id
BA27
BEL60
BEL61
BEL62
BR31
C82
C88
C92
FBOAT1
GROUP2
GUI10
GUI11
GUI12C
GUI20
GUN10
GUN11C
GUN30
GUN31
GUN60
GUN61
GUN62
HAL11
HAL30
HAZ20
JER10
JER11
JER20
JER30
LOG35
LU51
LU61
MAJ60
MAJ61
MAJ62
MOL10
MOL30
MOL31
P1
P13
P14
P15
P16
P17
P2
P3
P4
P5
P6
P7
P8
P9
PAR10
PAR12
PAR15C
PIA61
RES48
RES49
RIV10
RIV11
RIV12C
RIV19
RIV20
RIV30
RIV60
RIV62
SOU11
SOU20
TUG60
TUG61
TUG62
WOD60
WOD61
WOD62
WT13
WT53
WT63
